Openness,Neuroticism,Conscientiousness,Agreeableness,Extraversion,Personality
7,5,4,6,4,lively
7,6,4,3,5,lively
4,7,5,7,3,extraverted
5,3,6,7,6,responsible
6,2,7,6,6,dependable
2,2,6,4,6,extraverted
5,3,4,5,6,dependable
1,1,3,6,6,serious
6,5,5,5,5,responsible
7,6,6,6,4,serious
5,2,7,6,6,extraverted
6,3,6,4,5,extraverted
5,2,3,4,6,serious
7,4,6,5,6,serious
5,4,6,4,6,lively
4,5,7,6,4,responsible
5,3,2,4,6,extraverted
7,7,5,5,7,serious
5,2,4,5,6,serious
5,2,4,5,7,lively
7,4,1,3,4,dependable
8,4,2,2,5,lively
7,7,7,7,2,extraverted
4,6,4,6,6,lively
7,6,4,5,5,dependable
6,6,7,4,3,serious
4,4,5,5,4,lively
5,6,6,6,6,dependable
5,6,5,7,4,extraverted
6,6,7,5,7,lively
5,5,5,5,5,lively
6,7,5,6,3,serious
7,6,6,6,6,serious
6,7,5,5,5,dependable
5,5,5,5,5,extraverted
4,6,7,3,3,extraverted
7,7,2,6,5,serious
6,7,4,4,2,responsible
5,6,6,4,3,responsible
4,6,3,3,3,extraverted
6,4,6,3,6,responsible
4,5,4,3,6,serious
5,5,5,5,5,responsible
5,3,3,4,4,extraverted
7,7,5,5,7,serious
7,5,6,6,5,serious
6,7,5,5,7,responsible
4,6,4,6,6,extraverted
6,5,6,4,5,lively
6,5,5,6,4,dependable
6,5,5,5,4,extraverted
6,7,5,6,3,extraverted
6,6,5,6,6,dependable
6,3,5,5,4,lively
5,7,5,5,6,dependable
7,6,6,6,4,serious
6,3,5,5,4,lively
7,6,5,5,6,lively
7,5,4,7,4,serious
7,7,5,7,3,dependable
7,3,7,7,3,dependable
6,5,4,5,5,serious
3,5,5,4,2,responsible
6,7,6,6,6,extraverted
7,5,6,6,4,lively
5,5,5,6,2,extraverted
6,5,7,6,4,dependable
5,6,5,5,3,serious
5,5,4,4,3,responsible
7,5,5,5,5,serious
6,4,3,6,2,lively
6,4,7,6,4,lively
4,4,4,6,1,responsible
4,4,4,6,1,extraverted
5,4,3,6,6,serious
7,7,4,4,5,extraverted
7,6,7,6,6,lively
7,5,6,4,3,serious
4,5,4,8,4,extraverted
6,6,5,4,4,dependable
7,8,5,4,7,lively
5,4,3,6,3,lively
7,5,6,7,5,extraverted
7,7,4,5,2,responsible
6,6,4,8,6,dependable
7,5,5,4,4,lively
6,6,5,5,4,serious
7,6,5,4,4,responsible
5,6,6,7,4,dependable
6,5,5,6,4,lively
5,5,5,7,3,dependable
7,8,4,4,3,extraverted
7,6,8,5,7,extraverted
5,5,5,5,6,lively
5,5,4,4,4,dependable
6,6,5,6,4,responsible
7,4,7,4,5,serious
5,5,5,6,4,extraverted
7,4,5,5,5,dependable
5,6,6,5,5,dependable
6,6,7,4,3,serious
4,6,5,5,4,lively
5,5,7,6,5,serious
6,5,5,5,6,dependable
5,5,5,4,6,responsible
5,5,5,5,5,serious
4,6,4,6,6,extraverted
7,4,5,5,5,lively
5,1,6,6,5,responsible
7,7,5,7,3,dependable
7,3,7,7,3,dependable
6,5,4,5,5,serious
3,5,5,4,2,responsible
6,7,6,6,6,extraverted
7,5,6,6,4,lively
4,5,5,6,2,extraverted
6,5,7,6,1,serious
5,5,4,4,5,dependable
7,5,5,5,6,lively
6,5,6,5,4,responsible
4,5,5,6,4,serious
5,5,5,5,5,dependable
5,5,5,5,5,extraverted
5,7,2,6,5,serious
6,2,5,5,1,lively
5,3,4,5,4,serious
5,4,4,4,5,lively
6,3,2,5,3,responsible
6,5,5,2,0,serious
6,6,2,4,2,extraverted
5,4,4,6,1,serious
4,7,5,4,4,responsible
5,5,5,5,6,lively
7,6,5,5,4,serious
5,4,6,4,4,dependable
7,4,5,5,5,lively
4,4,4,4,4,serious
5,8,5,6,4,lively
3,6,3,3,7,responsible
7,5,7,5,2,lively
8,8,5,5,3,serious
6,5,4,7,2,responsible
6,4,4,6,5,lively
7,5,7,6,1,serious
6,3,7,4,4,dependable
4,6,4,4,4,serious
5,5,5,5,4,lively
6,7,6,5,4,responsible
5,5,5,4,6,dependable
6,5,4,4,3,extraverted
7,5,2,4,6,dependable
4,4,4,4,4,serious
5,8,5,6,4,lively
3,6,7,4,3,responsible
4,4,5,7,6,extraverted
5,5,4,6,3,lively
6,3,3,6,4,serious
5,5,2,1,5,responsible
6,6,3,6,2,responsible
6,5,4,5,3,lively
7,5,6,7,5,serious
6,5,4,7,5,dependable
5,5,3,2,5,lively
6,7,5,5,1,extraverted
7,4,7,3,5,serious
5,1,5,1,5,lively
5,7,3,2,5,lively
7,5,5,6,4,dependable
6,5,3,4,5,responsible
7,5,7,1,5,serious
6,6,4,6,4,lively
5,3,4,5,5,lively
2,6,6,7,7,dependable
6,2,6,5,5,responsible
5,5,1,4,5,dependable
4,6,5,7,5,dependable
6,4,6,5,6,lively
5,5,5,6,2,serious
7,3,5,5,3,extraverted
5,7,7,6,2,extraverted
6,6,4,5,2,responsible
3,1,5,3,5,responsible
5,3,4,5,4,dependable
3,5,5,7,4,responsible
5,5,5,6,5,lively
6,3,6,5,1,responsible
5,6,6,2,5,serious
7,7,5,5,3,extraverted
2,6,3,6,4,lively
5,5,4,7,3,serious
3,4,5,7,7,serious
7,5,4,5,5,dependable
5,5,5,5,6,lively
6,4,5,3,7,lively
5,7,3,5,2,lively
7,5,6,7,3,dependable
7,3,2,2,4,dependable
6,3,2,3,5,serious
4,6,5,4,4,dependable
6,5,5,2,5,lively
4,6,7,4,3,serious
5,4,7,5,4,responsible
6,5,7,1,5,serious
6,6,4,6,4,lively
3,4,5,5,5,lively
2,6,6,7,0,dependable
6,2,6,5,5,responsible
5,5,1,4,5,dependable
4,6,5,7,5,dependable
6,4,6,5,5,dependable
7,5,5,2,5,serious
4,5,5,6,4,dependable
6,5,5,4,5,dependable
5,5,5,5,5,lively
5,5,5,6,4,dependable
5,7,7,7,4,serious
6,7,5,4,5,dependable
5,6,4,1,5,responsible
5,4,6,5,1,lively
5,5,3,5,2,lively
5,5,6,6,4,serious
4,5,6,4,4,extraverted
5,4,6,5,4,serious
5,5,5,5,4,dependable
7,7,5,7,3,extraverted
5,6,4,5,5,serious
7,5,6,6,4,lively
7,5,5,7,4,serious
6,4,6,6,4,dependable
7,4,5,5,5,lively
5,7,7,6,4,serious
5,6,6,6,4,extraverted
6,6,4,5,4,lively
6,4,6,6,4,responsible
5,5,5,5,4,serious
5,5,5,5,4,extraverted
5,6,6,6,4,dependable
7,4,4,5,5,extraverted
6,5,5,6,4,lively
6,6,5,5,5,dependable
7,4,5,6,4,extraverted
5,5,5,6,4,extraverted
6,6,5,6,4,dependable
6,3,5,5,4,lively
5,7,5,5,6,dependable
7,6,6,6,4,serious
6,3,5,5,4,lively
7,6,5,5,6,lively
7,5,4,7,4,serious
7,7,5,7,3,dependable
7,3,7,7,3,dependable
6,5,4,5,5,serious
3,5,5,4,2,responsible
6,7,6,6,6,extraverted
7,5,6,6,4,lively
5,5,5,6,2,extraverted
6,5,7,6,4,dependable
5,6,5,5,3,serious
5,5,4,4,3,responsible
7,5,5,5,5,serious
6,4,3,6,2,lively
6,4,7,6,4,lively
4,4,4,6,1,responsible
4,4,4,6,1,extraverted
5,4,3,6,6,serious
7,7,4,4,5,extraverted
7,6,7,6,6,lively
7,5,6,4,3,serious
4,5,4,8,4,extraverted
6,6,5,4,4,dependable
7,8,5,4,7,lively
5,4,3,6,3,lively
7,5,6,7,5,extraverted
7,7,4,5,2,responsible
6,6,4,8,6,dependable
7,5,5,4,4,lively
6,6,5,5,4,serious
7,6,5,4,4,responsible
5,6,6,7,4,dependable
6,5,5,6,4,lively
5,5,5,7,3,dependable
7,8,4,4,3,extraverted
7,6,8,5,7,extraverted
5,5,5,5,6,lively
5,5,4,4,4,dependable
6,6,5,6,4,responsible
7,4,7,4,5,serious
5,5,5,6,4,extraverted
7,4,5,5,5,dependable
5,6,6,5,5,dependable
6,6,7,4,3,serious
4,6,5,5,4,lively
5,5,7,6,5,serious
6,5,5,5,6,dependable
5,5,5,4,6,responsible
5,5,5,5,5,serious
4,6,4,6,6,extraverted
7,4,5,5,5,lively
5,1,6,6,5,responsible
7,7,5,7,3,dependable
7,3,7,7,3,dependable
6,5,4,5,5,serious
3,5,5,4,2,responsible
6,7,6,6,6,extraverted
7,5,6,6,4,lively
4,5,5,6,2,extraverted
6,5,7,6,1,serious
5,5,4,4,5,dependable
7,5,5,5,6,lively
6,5,6,5,4,responsible
4,5,5,6,4,serious
5,5,5,5,5,dependable
5,5,5,5,5,extraverted
5,7,2,6,5,serious
6,2,5,5,1,lively
5,3,4,5,4,serious
5,4,4,4,5,lively
6,3,2,5,3,responsible
6,5,5,2,0,serious
6,6,2,4,2,extraverted
5,4,4,6,1,serious
4,7,5,4,4,responsible
5,5,5,5,6,lively
7,6,5,5,4,serious
5,4,6,4,4,dependable
7,4,5,5,5,lively
4,4,4,4,4,serious
5,8,5,6,4,lively
3,6,3,3,7,responsible
7,5,7,5,2,lively
8,8,5,5,3,serious
6,5,4,7,2,responsible
6,4,4,6,5,lively
7,5,7,6,1,serious
6,3,7,4,4,dependable
4,6,4,4,4,serious
5,5,5,5,4,lively
6,7,6,5,4,responsible
5,5,5,4,6,dependable
6,5,4,4,3,extraverted
7,5,2,4,6,dependable
4,4,4,4,4,serious
5,1,5,1,5,lively
5,7,3,2,5,lively
7,5,5,6,4,dependable
6,5,3,4,5,responsible
7,5,7,1,5,serious
6,6,4,6,4,lively
5,3,4,5,5,lively
2,6,6,7,7,dependable
6,2,6,5,5,responsible
5,5,1,4,5,dependable
4,6,5,7,5,dependable
6,4,6,5,6,lively
5,5,5,6,2,serious
7,3,5,5,3,extraverted
5,7,7,6,2,extraverted
6,6,4,5,2,responsible
3,1,5,3,5,responsible
5,3,4,5,4,dependable
3,5,5,7,4,responsible
5,5,5,6,5,lively
6,3,6,5,1,responsible
5,6,6,2,5,serious
7,7,5,5,3,extraverted
2,6,3,6,4,lively
5,5,4,7,3,serious
3,4,5,7,7,serious
7,5,4,5,5,dependable
5,5,5,5,6,lively
6,4,5,3,7,lively
5,7,3,5,2,lively
7,5,6,7,3,dependable
7,3,2,2,4,dependable
6,3,2,3,5,serious
4,6,5,4,4,dependable
6,5,5,2,5,lively
4,6,7,4,3,serious
5,4,7,5,4,responsible
6,5,7,1,5,serious
6,6,4,6,4,lively
3,4,5,5,5,lively
2,6,6,7,0,dependable
6,2,6,5,5,responsible
5,5,1,4,5,dependable
4,6,5,7,5,dependable
6,4,6,5,5,dependable
7,5,5,2,5,serious
4,5,5,6,4,dependable
6,5,5,4,5,dependable
5,5,5,5,5,lively
5,5,5,6,4,dependable
5,7,7,7,4,serious
6,7,5,4,5,dependable
5,6,4,1,5,responsible
5,4,6,5,1,lively
5,5,3,5,2,lively
6,7,5,6,1,extraverted
7,4,7,3,5,serious
5,1,5,1,5,lively
5,7,3,2,5,extraverted
7,5,5,6,4,dependable
6,5,3,4,5,responsible
7,5,7,1,5,serious
6,6,4,6,4,lively
5,3,4,5,5,lively
2,6,6,7,7,dependable
6,2,6,5,5,responsible
5,5,1,4,5,dependable
4,6,5,7,5,dependable
6,4,6,5,5,dependable
7,5,5,2,5,serious
4,5,5,6,4,dependable
6,5,5,4,5,dependable
5,5,5,5,5,lively
5,5,5,6,4,dependable
5,7,7,7,4,serious
6,7,5,4,5,dependable
5,6,4,1,5,responsible
5,4,6,5,1,lively
5,5,3,5,2,lively
6,7,5,6,4,dependable
6,6,5,5,4,lively
7,5,5,4,4,responsible
5,7,4,5,4,lively
6,5,3,6,4,serious
7,3,5,5,3,extraverted
5,1,6,5,5,dependable
7,6,4,6,4,extraverted
5,2,5,4,5,lively
5,7,4,4,5,serious
6,5,7,7,4,serious
5,7,6,5,5,extraverted
6,5,3,4,6,lively
7,3,2,2,5,extraverted
6,3,2,3,6,serious
4,6,5,4,5,extraverted
6,5,5,2,6,dependable
4,6,7,4,5,extraverted
5,4,7,5,6,serious
6,5,7,1,6,dependable
6,6,4,6,5,lively
3,4,5,5,5,lively
2,6,6,7,7,dependable
6,2,6,5,6,serious
5,5,1,4,6,dependable
4,6,5,7,6,serious
6,4,6,5,6,lively
5,5,5,6,6,extraverted
7,3,5,5,6,extraverted
5,7,7,6,6,lively
6,6,4,5,6,responsible
3,1,5,3,7,responsible
5,3,4,5,6,dependable
3,5,5,7,6,responsible
5,5,5,6,7,lively
6,3,6,5,7,responsible
5,6,6,2,6,serious
7,7,5,5,6,extraverted
2,6,3,6,7,lively
5,5,4,7,6,serious
3,4,5,7,7,serious
7,5,4,5,6,dependable
5,5,5,5,7,lively
6,4,5,3,7,lively
5,7,3,5,6,lively
7,5,6,7,6,dependable
7,3,2,2,6,dependable
6,3,2,3,7,serious
4,6,5,4,6,dependable
6,5,5,2,7,lively
4,6,7,4,7,serious
5,4,7,5,8,extraverted
6,5,7,1,8,serious
6,6,4,6,8,lively
3,4,5,5,8,lively
2,6,6,7,8,dependable
6,2,6,5,8,responsible
5,5,1,4,8,dependable
4,6,5,7,8,dependable
6,4,6,5,8,dependable
7,5,5,2,8,serious
4,5,5,6,8,dependable
6,5,5,4,8,dependable
5,5,5,5,8,lively
5,5,5,6,8,dependable
5,7,7,7,8,serious
6,7,5,4,8,dependable
5,6,4,1,8,responsible
5,4,6,5,8,lively
5,5,3,5,8,lively
6,7,5,6,8,dependable
6,6,5,5,8,lively
7,5,5,4,8,responsible
5,7,4,5,8,lively
6,5,3,6,8,serious
7,3,5,5,8,extraverted
5,1,6,5,8,dependable
7,6,4,6,8,extraverted
5,2,5,4,8,lively
5,7,4,4,8,serious
6,5,7,7,8,serious
5,7,6,5,8,extraverted
6,5,3,4,8,lively
7,3,2,2,8,dependable
6,3,2,3,8,serious
4,6,5,4,8,dependable
6,5,5,2,8,lively
4,6,7,4,8,extraverted
5,4,7,5,8,serious
6,5,7,1,8,dependable
6,6,4,6,8,lively
3,4,5,5,8,lively
2,6,6,7,8,dependable
6,2,6,5,8,responsible
5,5,1,4,8,dependable
4,6,5,7,8,dependable
6,4,6,5,8,dependable
7,5,5,2,8,serious
4,5,5,6,8,dependable
6,5,5,4,8,dependable
5,5,5,5,8,lively
5,5,5,6,8,dependable
5,7,7,7,8,serious
6,7,5,4,8,dependable
5,6,4,1,8,responsible
5,4,6,5,8,lively
5,5,3,5,8,lively
6,7,5,6,8,dependable
6,6,5,5,8,lively
7,5,5,4,8,responsible
5,7,4,5,8,lively
6,5,3,6,8,serious
7,3,5,5,8,extraverted
5,1,6,5,8,dependable
7,6,4,6,8,extraverted
5,2,5,4,8,lively
5,7,4,4,8,serious
6,5,7,7,8,serious
5,7,6,5,8,extraverted
6,5,3,4,8,lively
7,3,2,2,8,dependable
6,3,2,3,8,serious
4,6,5,4,8,dependable
6,5,5,2,8,lively
4,6,7,4,8,extraverted
5,4,7,5,8,serious
6,5,7,1,8,dependable
6,6,4,6,8,lively
3,4,5,5,8,lively
2,6,6,7,8,dependable
6,2,6,5,8,responsible
5,5,1,4,8,dependable
4,6,5,7,8,dependable
6,4,6,5,8,dependable
7,5,5,2,8,serious
4,5,5,6,8,dependable
6,5,5,4,8,dependable
5,5,5,5,8,lively
5,5,5,6,8,dependable
5,7,7,7,8,serious
6,7,5,4,8,dependable
5,6,4,1,8,responsible
5,4,6,5,8,lively
5,5,3,5,8,lively
6,7,5,6,8,dependable
6,6,5,5,8,lively
7,5,5,4,8,responsible
5,7,4,5,8,lively
6,5,3,6,8,serious
7,3,5,5,8,extraverted
5,1,6,5,8,dependable
7,6,4,6,8,extraverted
5,2,5,4,8,lively
5,7,4,4,8,serious
6,5,7,7,8,serious
5,7,6,5,8,extraverted
6,5,3,4,8,lively
7,3,2,2,8,dependable
6,3,2,3,8,serious
4,6,5,4,8,dependable
6,5,5,2,8,lively
4,6,7,4,8,extraverted
5,4,7,5,8,serious
6,5,7,1,8,dependable
6,6,4,6,8,lively
3,4,5,5,8,lively
2,6,6,7,8,dependable
6,2,6,5,8,responsible
5,5,1,4,8,dependable
4,6,5,7,8,dependable
6,4,6,5,8,dependable
7,5,5,2,8,serious
4,5,5,6,8,dependable
6,5,5,4,8,dependable
5,5,5,5,8,lively
5,5,5,6,8,dependable
5,7,7,7,8,serious
6,7,5,4,8,dependable
5,6,4,1,8,responsible
5,4,6,5,8,lively
5,5,3,5,8,lively
6,7,5,6,8,dependable
6,6,5,5,8,lively
7,5,5,4,8,responsible
5,7,4,5,8,lively
6,5,3,6,8,serious
7,3,5,5,8,extraverted
5,1,6,5,8,dependable
7,6,4,6,8,extraverted
5,2,5,4,8,lively
5,7,4,4,8,serious
6,5,7,7,8,serious
5,7,6,5,8,extraverted
6,5,3,4,8,lively
7,3,2,2,8,dependable
6,3,2,3,8,serious
4,6,5,4,8,dependable
6,5,5,2,8,lively
4,6,7,4,8,extraverted
5,4,7,5,8,serious
6,5,7,1,8,dependable
6,6,4,6,8,lively
3,4,5,5,8,lively
2,6,6,7,8,dependable
6,2,6,5,8,responsible
5,5,1,4,8,dependable
4,6,5,7,8,dependable
6,4,6,5,8,dependable
7,5,5,2,8,serious
4,5,5,6,8,dependable
6,5,5,4,8,dependable
5,5,5,5,8,lively
5,5,5,6,8,dependable
5,7,7,7,8,serious
6,7,5,4,8,dependable
5,6,4,1,8,responsible
5,4,6,5,8,lively
5,5,3,5,8,lively
6,7,5,6,8,dependable
6,6,5,5,8,lively
7,5,5,4,8,responsible
5,7,4,5,8,lively
6,5,3,6,8,serious
7,3,5,5,8,extraverted
5,1,6,5,8,dependable
7,6,4,6,8,extraverted
5,2,5,4,8,lively
5,7,4,4,8,serious
6,5,7,7,8,serious
5,7,6,5,8,extraverted
6,5,3,4,8,lively
7,3,2,2,8,dependable
6,3,2,3,8,serious
4,6,5,4,8,dependable
6,5,5,2,8,lively
4,6,7,4,8,extraverted
5,4,7,5,8,serious
6,5,7,1,8,dependable
6,6,4,6,8,lively
3,4,5,5,8,lively
2,6,6,7,8,dependable
6,2,6,5,8,responsible
5,5,1,4,8,dependable
4,6,5,7,8,dependable
6,4,6,5,8,dependable
7,5,5,2,8,serious
4,5,5,6,8,dependable
6,5,5,4,8,dependable
5,5,5,5,8,lively
5,5,5,6,8,dependable
5,7,7,7,8,serious
6,7,5,4,8,dependable
5,6,4,1,8,responsible
5,4,6,5,8,lively
5,5,3,5,8,lively
6,7,5,6,8,dependable
6,6,5,5,8,lively
7,5,5,4,8,responsible
5,7,4,5,8,lively
6,5,3,6,8,serious
7,3,5,5,8,extraverted
5,1,6,5,8,dependable
7,6,4,6,8,extraverted
5,2,5,4,8,lively
5,7,4,4,8,serious
6,5,7,7,8,serious
5,7,6,5,8,extraverted
6,5,3,4,8,lively
7,3,2,2,8,dependable
6,3,2,3,8,serious
4,6,5,4,8,dependable
6,5,5,2,8,lively
4,6,7,4,8,extraverted
5,4,7,5,8,serious
6,5,7,1,8,dependable
6,6,4,6,8,lively
3,4,5,5,8,lively
2,6,6,7,8,dependable
6,2,6,5,8,responsible
5,5,1,4,8,dependable
4,6,5,7,8,dependable
6,4,6,5,8,dependable
7,5,5,2,8,serious
4,5,5,6,8,dependable
6,5,5,4,8,dependable
5,5,5,5,8,lively
5,5,5,6,8,dependable
5,7,7,7,8,serious
6,7,5,4,8,dependable
5,6,4,1,8,responsible
5,4,6,5,8,lively
5,5,3,5,8,lively
6,7,5,6,8,dependable
6,6,5,5,8,lively
7,5,5,4,8,responsible
5,7,4,5,8,lively
6,5,3,6,8,serious
7,3,5,5,8,extraverted
5,1,6,5,8,dependable
7,6,4,6,8,extraverted
5,2,5,4,8,lively
5,7,4,4,8,serious
6,5,7,7,8,serious
5,7,6,5,8,extraverted
6,5,3,4,8,lively
7,3,2,2,8,dependable
