Openness,Neuroticism,Conscientiousness,Agreeableness,Extraversion,Personality
6,3,2,3,8,serious
4,6,5,4,8,dependable
6,5,5,2,8,lively
4,6,7,4,8,extraverted
5,4,7,5,8,serious
6,5,7,1,8,dependable
6,6,4,6,8,lively
3,4,5,5,8,lively
2,6,6,7,8,dependable
6,2,6,5,8,responsible
5,5,1,4,8,dependable
4,6,5,7,8,dependable
6,4,6,5,8,dependable
7,5,5,2,8,serious
4,5,5,6,8,dependable
6,5,5,4,8,dependable
5,5,5,5,8,lively
5,5,5,6,8,dependable
5,7,7,7,8,serious
6,7,5,4,8,dependable
5,6,4,1,8,responsible
5,4,6,5,8,lively
5,5,3,5,8,lively
6,7,5,6,8,dependable
6,6,5,5,8,lively
7,5,5,4,8,responsible
5,7,4,5,8,lively
6,5,3,6,8,serious
7,3,5,5,8,extraverted
5,1,6,5,8,dependable
7,6,4,6,8,extraverted
5,2,5,4,8,lively
5,7,4,4,8,serious
6,5,7,7,8,serious
5,7,6,5,8,extraverted
6,5,3,4,8,lively
7,3,2,2,8,dependable
6,3,2,3,8,serious
4,6,5,4,8,dependable
6,5,5,2,8,lively
4,6,7,4,8,extraverted
5,4,7,5,8,serious
6,5,7,1,8,dependable
6,6,4,6,8,lively
3,4,5,5,8,lively
2,6,6,7,8,dependable
6,2,6,5,8,responsible
5,5,1,4,8,dependable
4,6,5,7,8,dependable
6,4,6,5,8,dependable
7,5,5,2,8,serious
4,5,5,6,8,dependable
6,5,5,4,8,dependable
5,5,5,5,8,lively
5,5,5,6,8,dependable
5,7,7,7,8,serious
6,7,5,4,8,dependable
5,6,4,1,8,responsible
5,4,6,5,8,lively
5,5,3,5,8,lively
6,7,5,6,8,dependable
6,6,5,5,8,lively
7,5,5,4,8,responsible
5,7,4,5,8,lively
6,5,3,6,8,serious
7,3,5,5,8,extraverted
5,1,6,5,8,dependable
7,6,4,6,8,extraverted
5,2,5,4,8,lively
5,7,4,4,8,serious
6,5,7,7,8,serious
5,7,6,5,8,extraverted
6,5,3,4,8,lively
7,3,2,2,8,dependable
6,3,2,3,8,serious
4,6,5,4,8,dependable
6,5,5,2,8,lively
4,6,7,4,8,extraverted
5,4,7,5,8,serious
6,5,7,1,8,dependable
6,6,4,6,8,lively
3,4,5,5,8,lively
2,6,6,7,8,dependable
6,2,6,5,8,responsible
5,5,1,4,8,dependable
4,6,5,7,8,dependable
6,4,6,5,8,dependable
7,5,5,2,8,serious
4,5,5,6,8,dependable
6,5,5,4,8,dependable
5,5,5,5,8,lively
5,5,5,6,8,dependable
5,7,7,7,8,serious
6,7,5,4,8,dependable
5,6,4,1,8,responsible
5,4,6,5,8,lively
5,5,3,5,8,lively
6,7,5,6,8,dependable
6,6,5,5,8,lively
7,5,5,4,8,responsible
5,7,4,5,8,lively
6,5,3,6,8,serious
7,3,5,5,8,extraverted
5,1,6,5,8,dependable
7,6,4,6,8,extraverted
5,2,5,4,8,lively
5,7,4,4,8,serious
6,5,7,7,8,serious
5,7,6,5,8,extraverted
6,5,3,4,8,lively
7,3,2,2,8,dependable
6,3,2,3,8,serious
4,6,5,4,8,dependable
6,5,5,2,8,lively
4,6,7,4,8,extraverted
5,4,7,5,8,serious
6,5,7,1,8,dependable
6,6,4,6,8,lively
3,4,5,5,8,lively
2,6,6,7,8,dependable
6,2,6,5,8,responsible
5,5,1,4,8,dependable
4,6,5,7,8,dependable
6,4,6,5,8,dependable
7,5,5,2,8,serious
4,5,5,6,8,dependable
6,5,5,4,8,dependable
5,5,5,5,8,lively
5,5,5,6,8,dependable
5,7,7,7,8,serious
6,7,5,4,8,dependable
5,6,4,1,8,responsible
5,4,6,5,8,lively
5,5,3,5,8,lively
6,7,5,6,8,dependable
6,6,5,5,8,lively
7,5,5,4,8,responsible
5,7,4,5,8,lively
6,5,3,6,8,serious
7,3,5,5,8,extraverted
5,1,6,5,8,dependable
7,6,4,6,8,extraverted
5,2,5,4,8,lively
5,7,4,4,8,serious
6,5,7,7,8,serious
5,7,6,5,8,extraverted
6,5,3,4,8,lively
7,3,2,2,8,dependable
6,3,2,3,8,serious
4,6,5,4,8,dependable
6,5,5,2,8,lively
4,6,7,4,8,extraverted
5,4,7,5,8,serious
6,5,7,1,8,dependable
6,6,4,6,8,lively
3,4,5,5,8,lively
2,6,6,7,8,dependable
6,2,6,5,8,responsible
5,5,1,4,8,dependable
4,6,5,7,8,dependable
6,4,6,5,8,dependable
7,5,5,2,8,serious
4,5,5,6,8,dependable
6,5,5,4,8,dependable
5,5,5,5,8,lively
5,5,5,6,8,dependable
5,7,7,7,8,serious
6,7,5,4,8,dependable
5,6,4,1,8,responsible
5,4,6,5,8,lively
5,5,3,5,8,lively
6,7,5,6,8,dependable
6,6,5,5,8,lively
7,5,5,4,8,responsible
5,7,4,5,8,lively
6,5,3,6,8,serious
7,3,5,5,8,extraverted
5,1,6,5,8,dependable
7,6,4,6,8,extraverted
5,2,5,4,8,lively
5,7,4,4,8,serious
6,5,7,7,8,serious
5,7,6,5,8,extraverted
6,5,3,4,8,lively
7,3,2,2,8,dependable
6,3,2,3,8,serious
4,6,5,4,8,dependable
6,5,5,2,8,lively
4,6,7,4,8,extraverted
5,4,7,5,8,serious
6,5,7,1,8,dependable
6,6,4,6,8,lively
3,4,5,5,8,lively
2,6,6,7,8,dependable
6,2,6,5,8,responsible
5,5,1,4,8,dependable
4,6,5,7,8,dependable
6,4,6,5,8,dependable
7,5,5,2,8,serious
4,5,5,6,8,dependable
6,5,5,4,8,dependable
5,5,5,5,8,lively
5,5,5,6,8,dependable
5,7,7,7,8,serious
6,7,5,4,8,dependable
5,6,4,1,8,responsible
5,4,6,5,8,lively
5,5,3,5,8,lively
6,7,5,6,8,dependable
6,6,5,5,8,lively
7,5,5,4,8,responsible
5,7,4,5,8,lively
6,5,3,6,8,serious
7,3,5,5,8,extraverted
5,1,6,5,8,dependable
7,6,4,6,8,extraverted
5,2,5,4,8,lively
5,7,4,4,8,serious
6,5,7,7,8,serious
5,7,6,5,8,extraverted
6,5,3,4,8,lively
7,3,2,2,8,dependable
6,3,2,3,8,serious
4,6,5,4,8,dependable
6,5,5,2,8,lively
4,6,7,4,8,extraverted
5,4,7,5,8,serious
6,5,7,1,8,dependable
6,6,4,6,8,lively
3,4,5,5,8,lively
2,6,6,7,8,dependable
6,2,6,5,8,responsible
5,5,1,4,8,dependable
4,6,5,7,8,dependable
6,4,6,5,8,dependable
7,5,5,2,8,serious
4,5,5,6,8,dependable
6,5,5,4,8,dependable
5,5,5,5,8,lively
5,5,5,6,8,dependable
5,7,7,7,8,serious
6,7,5,4,8,dependable
5,6,4,1,8,responsible
5,4,6,5,8,lively
5,5,3,5,8,lively
6,7,5,6,8,dependable
6,6,5,5,8,lively
7,5,5,4,8,responsible
5,7,4,5,8,lively
6,5,3,6,8,serious
7,3,5,5,8,extraverted
5,1,6,5,8,dependable
7,6,4,6,8,extraverted
5,2,5,4,8,lively
5,7,4,4,8,serious
6,5,7,7,8,serious
5,7,6,5,8,extraverted
6,5,3,4,8,lively
7,3,2,2,8,dependable
6,3,2,3,8,serious
4,6,5,4,8,dependable
6,5,5,2,8,lively
4,6,7,4,8,extraverted
5,4,7,5,8,serious
6,5,7,1,8,dependable
6,6,4,6,8,lively
3,4,5,5,8,lively
2,6,6,7,8,dependable
6,2,6,5,8,responsible
5,5,1,4,8,dependable
4,6,5,7,8,dependable
6,4,6,5,8,dependable
7,5,5,2,8,serious
4,5,5,6,8,dependable
6,5,5,4,8,dependable
5,5,5,5,8,lively
5,5,5,6,8,dependable
5,7,7,7,8,serious
6,7,5,4,8,dependable
5,6,4,1,8,responsible
5,4,6,5,8,lively
5,5,3,5,8,lively
6,7,5,6,8,dependable
6,6,5,5,8,lively
7,5,5,4,8,responsible
5,7,4,5,8,lively
6,5,3,6,8,serious
7,3,5,5,8,extraverted
5,1,6,5,8,dependable
7,6,4,6,8,extraverted
5,2,5,4,8,lively
5,7,4,4,8,serious
6,5,7,7,8,serious
5,7,6,5,8,extraverted
6,5,3,4,8,lively
7,3,2,2,8,dependable
6,3,2,3,8,serious
4,6,5,4,8,dependable
6,5,5,2,8,lively
4,6,7,4,8,extraverted
5,4,7,5,8,serious
6,5,7,1,8,dependable
6,6,4,6,8,lively
3,4,5,5,8,lively
2,6,6,7,8,dependable
6,2,6,5,8,responsible
5,5,1,4,8,dependable
4,6,5,7,8,dependable
6,4,6,5,8,dependable
7,5,5,2,8,serious
4,5,5,6,8,dependable
6,5,5,4,8,dependable
5,5,5,5,8,lively
5,5,5,6,8,dependable
5,7,7,7,8,serious
6,7,5,4,8,dependable
5,6,4,1,8,responsible
5,4,6,5,8,lively
5,5,3,5,8,lively
6,7,5,6,8,dependable
6,6,5,5,8,lively
7,5,5,4,8,responsible
5,7,4,5,8,lively
6,5,3,6,8,serious
7,3,5,5,8,extraverted
5,1,6,5,8,dependable
7,6,4,6,8,extraverted
5,2,5,4,8,lively
5,7,4,4,8,serious
6,5,7,7,8,serious
5,7,6,5,8,extraverted
6,5,3,4,8,lively
7,3,2,2,8,dependable
6,3,2,3,8,serious
4,6,5,4,8,dependable
6,5,5,2,8,lively
4,6,7,4,8,extraverted
5,4,7,5,8,serious
6,5,7,1,8,dependable
6,6,4,6,8,lively
3,4,5,5,8,lively
2,6,6,7,8,dependable
6,2,6,5,8,responsible
5,5,1,4,8,dependable
4,6,5,7,8,dependable
6,4,6,5,8,dependable
7,5,5,2,8,serious
4,5,5,6,8,dependable
6,5,5,4,8,dependable
5,5,5,5,8,lively
5,5,5,6,8,dependable
5,7,7,7,8,serious
6,7,5,4,8,dependable
5,6,4,1,8,responsible
5,4,6,5,8,lively
5,5,3,5,8,lively
6,7,5,6,8,dependable
6,6,5,5,8,lively
7,5,5,4,8,responsible
5,7,4,5,8,lively
6,5,3,6,8,serious
7,3,5,5,8,extraverted
5,1,6,5,8,dependable
7,6,4,6,8,extraverted
5,2,5,4,8,lively
5,7,4,4,8,serious
6,5,7,7,8,serious
5,7,6,5,8,extraverted
6,5,3,4,8,lively
7,3,2,2,8,dependable
6,3,2,3,8,serious
4,6,5,4,8,dependable
6,5,5,2,8,lively
4,6,7,4,8,extraverted
5,4,7,5,8,serious
6,5,7,1,8,dependable
6,6,4,6,8,lively
3,4,5,5,8,lively
2,6,6,7,8,dependable
6,2,6,5,8,responsible
5,5,1,4,8,dependable
4,6,5,7,8,dependable
6,4,6,5,8,dependable
7,5,5,2,8,serious
4,5,5,6,8,dependable
6,5,5,4,8,dependable
5,5,5,5,8,lively
5,5,5,6,8,dependable
5,7,7,7,8,serious
6,7,5,4,8,dependable
5,6,4,1,8,responsible
5,4,6,5,8,lively
5,5,3,5,8,lively
6,7,5,6,8,dependable
6,6,5,5,8,lively
7,5,5,4,8,responsible
5,7,4,5,8,lively
6,5,3,6,8,serious
7,3,5,5,8,extraverted
5,1,6,5,8,dependable
7,6,4,6,8,extraverted
5,2,5,4,8,lively
5,7,4,4,8,serious
6,5,7,7,8,serious
5,7,6,5,8,extraverted
6,5,3,4,8,lively
7,3,2,2,8,dependable
6,3,2,3,8,serious
4,6,5,4,8,dependable
6,5,5,2,8,lively
4,6,7,4,8,extraverted
5,4,7,5,8,serious
6,5,7,1,8,dependable
6,6,4,6,8,lively
3,4,5,5,8,lively
2,6,6,7,8,dependable
6,2,6,5,8,responsible
5,5,1,4,8,dependable
4,6,5,7,8,dependable
6,4,6,5,8,dependable
7,5,5,2,8,serious
4,5,5,6,8,dependable
6,5,5,4,8,dependable
5,5,5,5,8,lively
5,5,5,6,8,dependable
5,7,7,7,8,serious
6,7,5,4,8,dependable
5,6,4,1,8,responsible
5,4,6,5,8,lively
5,5,3,5,8,lively
6,7,5,6,8,dependable
6,6,5,5,8,lively
7,5,5,4,8,responsible
5,7,4,5,8,lively
6,5,3,6,8,serious
7,3,5,5,8,extraverted
5,1,6,5,8,dependable
7,6,4,6,8,extraverted
5,2,5,4,8,lively
5,7,4,4,8,serious
6,5,7,7,8,serious
5,7,6,5,8,extraverted
6,5,3,4,8,lively
7,3,2,2,8,dependable
6,3,2,3,8,serious
4,6,5,4,8,dependable
6,5,5,2,8,lively
4,6,7,4,8,extraverted
5,4,7,5,8,serious
6,5,7,1,8,dependable
6,6,4,6,8,lively
3,4,5,5,8,lively
2,6,6,7,8,dependable
6,2,6,5,8,responsible
5,5,1,4,8,dependable
4,6,5,7,8,dependable
6,4,6,5,8,dependable
7,5,5,2,8,serious
4,5,5,6,8,dependable
6,5,5,4,8,dependable
5,5,5,5,8,lively
5,5,5,6,8,dependable
5,7,7,7,8,serious
6,7,5,4,8,dependable
5,6,4,1,8,responsible
5,4,6,5,8,lively
5,5,3,5,8,lively
6,7,5,6,8,dependable
6,6,5,5,8,lively
7,5,5,4,8,responsible
5,7,4,5,8,lively
6,5,3,6,8,serious
7,3,5,5,8,extraverted
5,1,6,5,8,dependable
7,6,4,6,8,extraverted
5,2,5,4,8,lively
5,7,4,4,8,serious
6,5,7,7,8,serious
5,7,6,5,8,extraverted
6,5,3,4,8,lively
7,3,2,2,8,dependable
6,3,2,3,8,serious
4,6,5,4,8,dependable
6,5,5,2,8,lively
4,6,7,4,8,extraverted
5,4,7,5,8,serious
6,5,7,1,8,dependable
6,6,4,6,8,lively
3,4,5,5,8,lively
2,6,6,7,8,dependable
6,2,6,5,8,responsible
5,5,1,4,8,dependable
4,6,5,7,8,dependable
6,4,6,5,8,dependable
7,5,5,2,8,serious
4,5,5,6,8,dependable
6,5,5,4,8,dependable
5,5,5,5,8,lively
5,5,5,6,8,dependable
5,7,7,7,8,serious
6,7,5,4,8,dependable
5,6,4,1,8,responsible
5,4,6,5,8,lively
5,5,3,5,8,lively
6,7,5,6,8,dependable
6,6,5,5,8,lively
7,5,5,4,8,responsible
5,7,4,5,8,lively
6,5,3,6,8,serious
7,3,5,5,8,extraverted
5,1,6,5,8,dependable
7,6,4,6,8,extraverted
5,2,5,4,8,lively
5,7,4,4,8,serious
6,5,7,7,8,serious
5,7,6,5,8,extraverted
6,5,3,4,8,lively
7,3,2,2,8,dependable
6,3,2,3,8,serious
4,6,5,4,8,dependable
6,5,5,2,8,lively
4,6,7,4,8,extraverted
5,4,7,5,8,serious
6,5,7,1,8,dependable
6,6,4,6,8,lively
3,4,5,5,8,lively
2,6,6,7,8,dependable
6,2,6,5,8,responsible
5,5,1,4,8,dependable
4,6,5,7,8,dependable
6,4,6,5,8,dependable
7,5,5,2,8,serious
4,5,5,6,8,dependable
6,5,5,4,8,dependable
5,5,5,5,8,lively
5,5,5,6,8,dependable
5,7,7,7,8,serious
6,7,5,4,8,dependable
5,6,4,1,8,responsible
5,4,6,5,8,lively
5,5,3,5,8,lively
6,7,5,6,8,dependable
6,6,5,5,8,lively
7,5,5,4,8,responsible
5,7,4,5,8,lively
6,5,3,6,8,serious
7,3,5,5,8,extraverted
5,1,6,5,8,dependable
7,6,4,6,8,extraverted
5,2,5,4,8,lively
5,7,4,4,8,serious
6,5,7,7,8,serious
5,7,6,5,8,extraverted
6,5,3,4,8,lively
7,3,2,2,8,dependable
6,3,2,3,8,serious
4,6,5,4,8,dependable
6,5,5,2,8,lively
4,6,7,4,8,extraverted
5,4,7,5,8,serious
6,5,7,1,8,dependable
6,6,4,6,8,lively
3,4,5,5,8,lively
2,6,6,7,8,dependable
6,2,6,5,8,responsible
5,5,1,4,8,dependable
4,6,5,7,8,dependable
6,4,6,5,8,dependable
7,5,5,2,8,serious
4,5,5,6,8,dependable
6,5,5,4,8,dependable
5,5,5,5,8,lively
5,5,5,6,8,dependable
5,7,7,7,8,serious
6,7,5,4,8,dependable
5,6,4,1,8,responsible
5,4,6,5,8,lively
5,5,3,5,8,lively
6,7,5,6,8,dependable
6,6,5,5,8,lively
7,5,5,4,8,responsible
5,7,4,5,8,lively
6,5,3,6,8,serious
7,3,5,5,8,extraverted
5,1,6,5,8,dependable
7,6,4,6,8,extraverted
5,2,5,4,8,lively
5,7,4,4,8,serious
6,5,7,7,8,serious
5,7,6,5,8,extraverted
6,5,3,4,8,lively
7,3,2,2,8,dependable
6,3,2,3,8,serious
4,6,5,4,8,dependable
6,5,5,2,8,lively
4,6,7,4,8,extraverted
5,4,7,5,8,serious
6,5,7,1,8,dependable
6,6,4,6,8,lively
3,4,5,5,8,lively
2,6,6,7,8,dependable
6,2,6,5,8,responsible
5,5,1,4,8,dependable
4,6,5,7,8,dependable
6,4,6,5,8,dependable
7,5,5,2,8,serious
4,5,5,6,8,dependable
6,5,5,4,8,dependable
5,5,5,5,8,lively
5,5,5,6,8,dependable
5,7,7,7,8,serious
6,7,5,4,8,dependable
5,6,4,1,8,responsible
5,4,6,5,8,lively
5,5,3,5,8,lively
6,7,5,6,8,dependable
6,6,5,5,8,lively
7,5,5,4,8,responsible
5,7,4,5,8,lively
6,5,3,6,8,serious
7,3,5,5,8,extraverted
5,1,6,5,8,dependable
7,6,4,6,8,extraverted
5,2,5,4,8,lively
5,7,4,4,8,serious
6,5,7,7,8,serious
5,7,6,5,8,extraverted
6,5,3,4,8,lively
7,3,2,2,8,dependable
6,3,2,3,8,serious
4,6,5,4,8,dependable
6,5,5,2,8,lively
4,6,7,4,8,extraverted
5,4,7,5,8,serious
6,5,7,1,8,dependable
6,6,4,6,8,lively
3,4,5,5,8,lively
2,6,6,7,8,dependable
6,2,6,5,8,responsible
5,5,1,4,8,dependable
4,6,5,7,8,dependable
6,4,6,5,8,dependable
7,5,5,2,8,serious
4,5,5,6,8,dependable
6,5,5,4,8,dependable
5,5,5,5,8,lively
5,5,5,6,8,dependable
5,7,7,7,8,serious
6,7,5,4,8,dependable
5,6,4,1,8,responsible
5,4,6,5,8,lively
5,5,3,5,8,lively
6,7,5,6,8,dependable
6,6,5,5,8,lively
7,5,5,4,8,responsible
5,7,4,5,8,lively
6,5,3,6,8,serious
7,3,5,5,8,extraverted
5,1,6,5,8,dependable
7,6,4,6,8,extraverted
5,2,5,4,8,lively
5,7,4,4,8,serious
6,5,7,7,8,serious
5,7,6,5,8,extraverted
6,5,3,4,8,lively
7,3,2,2,8,dependable
6,3,2,3,8,serious
4,6,5,4,8,dependable
6,5,5,2,8,lively
4,6,7,4,8,extraverted
5,4,7,5,8,serious
6,5,7,1,8,dependable
6,6,4,6,8,lively
3,4,5,5,8,lively
2,6,6,7,8,dependable
6,2,6,5,8,responsible
5,5,1,4,8,dependable
4,6,5,7,8,dependable
6,4,6,5,8,dependable
7,5,5,2,8,serious
4,5,5,6,8,dependable
6,5,5,4,8,dependable
5,5,5,5,8,lively
5,5,5,6,8,dependable
5,7,7,7,8,serious
6,7,5,4,8,dependable
5,6,4,1,8,responsible
5,4,6,5,8,lively
5,5,3,5,8,lively
6,7,5,6,8,dependable
6,6,5,5,8,lively
7,5,5,4,8,responsible
5,7,4,5,8,lively
6,5,3,6,8,serious
7,3,5,5,8,extraverted
5,1,6,5,8,dependable
7,6,4,6,8,extraverted
5,2,5,4,8,lively
5,7,4,4,8,serious
6,5,7,7,8,serious
5,7,6,5,8,extraverted
6,5,3,4,8,lively
7,3,2,2,8,dependable
6,3,2,3,8,serious
4,6,5,4,8,dependable
6,5,5,2,8,lively
4,6,7,4,8,extraverted
5,4,7,5,8,serious
6,5,7,1,8,dependable
6,6,4,6,8,lively
3,4,5,5,8,lively
2,6,6,7,8,dependable
6,2,6,5,8,responsible
5,5,1,4,8,dependable
4,6,5,7,8,dependable
6,4,6,5,8,dependable
7,5,5,2,8,serious
4,5,5,6,8,dependable
6,5,5,4,8,dependable
5,5,5,5,8,lively
5,5,5,6,8,dependable
5,7,7,7,8,serious
6,7,5,4,8,dependable
5,6,4,1,8,responsible
5,4,6,5,8,lively
5,5,3,5,8,lively
6,7,5,6,8,dependable
6,6,5,5,8,lively
7,5,5,4,8,responsible
5,7,4,5,8,lively
6,5,3,6,8,serious
7,3,5,5,8,extraverted
5,1,6,5,8,dependable
